Setpoint [Deg], [dB], Measured
22, 14,       132.47
22, 15,       132.30
22, 18,       131.94
22, 23,       133.86
22, 24,       134.15
22, 25,       136.68
22, 8,       139.81
10, 14,       134.95
10, 15,       135.52
10, 18,       134.83
10, 23,       136.90
10, 24,       136.14
10, 25,       138.93
10, 8,       142.40
9, 14,       135.59
9, 15,       135.55
9, 18,       136.28
9, 23,       137.45
9, 24,       137.10
9, 25,       138.96
9, 8,       142.06
11, 14,       145.27
11, 15,       145.18
11, 18,       144.76
11, 23,       146.76
11, 24,       146.23
11, 25,       147.31
11, 8,       151.71
0, 14,       149.60
0, 15,       149.97
0, 18,       149.93
0, 23,       151.23
0, 24,       151.47
0, 25,       152.16
0, 8,       156.79
5, 14,       174.90
5, 15,       175.19
5, 18,       174.98
5, 23,       176.03
5, 24,       176.76
5, 25,       178.65
5, 8,      -177.26
6, 14,      -154.81
6, 15,      -154.16
6, 18,      -154.81
6, 23,      -153.96
6, 24,      -152.81
6, 25,      -151.47
6, 8,      -148.15
13, 14,       -43.35
13, 15,       -43.03
13, 18,       -43.47
13, 23,       -41.59
13, 24,       -41.94
13, 25,       -39.43
13, 8,       -37.07
